,Numba
100,0.09135103225708008
200,0.18034005165100098
300,0.268909215927124
400,0.3592510223388672
500,0.4456169605255127
600,0.5341920852661133
700,0.6247119903564453
800,0.7146551609039307
900,0.8020331859588623
1000,0.8876581192016602
