,Numba
10,0.09249496459960938
20,0.04150199890136719
30,0.07523488998413086
40,0.13060617446899414
50,0.19215703010559082
60,0.26641297340393066
70,0.3793148994445801
80,0.48509812355041504
90,0.6031451225280762
100,0.734025239944458
