,MPI MCstep: 4 core
10,0.025515079498291016
20,0.045870065689086914
30,0.10122489929199219
40,0.17831707000732422
50,0.28226399421691895
60,0.39932703971862793
70,0.5430450439453125
80,0.7250518798828125
90,0.8995571136474609
100,1.123567819595337
