,MPI: 4 core
100,0.5075221061706543
200,0.9912171363830566
300,1.4854869842529297
400,1.9937989711761475
500,2.4921317100524902
600,2.998613119125366
700,3.479037284851074
800,3.9751408100128174
900,4.464296817779541
1000,4.9572649002075195
