,MPI: 4 core
10,0.025568008422851562
20,0.09895682334899902
30,0.21960806846618652
40,0.3890659809112549
50,0.6091148853302002
60,0.8881337642669678
70,1.1916570663452148
80,1.557302713394165
90,1.9699981212615967
100,2.42509126663208
