,Cython MPI: 8 core
50,0.11074090003967285
100,0.24016904830932617
150,0.47292017936706543
200,0.8354318141937256
250,1.2216377258300781
300,1.6430470943450928
350,2.4988088607788086
400,2.8024609088897705
450,3.872399091720581
500,5.106220245361328
