,Cython MPI: 4 core
50,0.06699609756469727
100,0.12745380401611328
150,0.2588839530944824
200,0.46042799949645996
250,0.7227628231048584
300,1.0388600826263428
350,1.4272890090942383
400,1.8805649280548096
450,2.456976890563965
500,3.02069091796875
