,Cython MPI: 1 core
50,0.10298919677734375
100,0.3288431167602539
150,0.7756359577178955
200,1.2799830436706543
250,1.9894351959228516
300,2.8628978729248047
350,3.888444185256958
400,5.094173192977905
450,6.551997900009155
500,8.079984664916992
