,Numba MPI: 2 core
10,0.0860450267791748
20,0.04455995559692383
30,0.08852267265319824
40,0.14926815032958984
50,0.2278149127960205
60,0.32544684410095215
70,0.43938708305358887
80,0.5716991424560547
90,0.7224898338317871
100,0.8855371475219727
