,Numba MPI: 4 core
100,0.06727409362792969
200,0.13154006004333496
300,0.19606614112854004
400,0.26200127601623535
500,0.3272271156311035
600,0.3924839496612549
700,0.45813679695129395
800,0.5217669010162354
900,0.5882549285888672
1000,0.6492488384246826
