,Numba
100,0.089385986328125
200,0.17681384086608887
300,0.2658059597015381
400,0.35247206687927246
500,0.4417388439178467
600,0.527101993560791
700,0.6151010990142822
800,0.6998131275177002
900,0.7902448177337646
1000,0.8780002593994141
