,Numba MPI: 8 core
100,0.11966586112976074
200,0.23119473457336426
300,0.34651708602905273
400,0.46019411087036133
500,0.5834910869598389
600,0.6956050395965576
700,0.782728910446167
800,0.9051499366760254
900,1.0347621440887451
1000,1.128891944885254
