,Numba
10,0.09017682075500488
20,0.04118180274963379
30,0.07545304298400879
40,0.12842178344726562
50,0.18847393989562988
60,0.26209521293640137
70,0.37273097038269043
80,0.48673200607299805
90,0.5930392742156982
100,0.7192258834838867
