,Numba MPI: 2 core
100,0.11242318153381348
200,0.22333788871765137
300,0.33252501487731934
400,0.44552087783813477
500,0.557157039642334
600,0.6669838428497314
700,0.7823376655578613
800,0.8949611186981201
900,1.0033347606658936
1000,1.1110670566558838
