,Numba MPI: 4 core
10,0.08998298645019531
20,0.03137087821960449
30,0.05583000183105469
40,0.08990216255187988
50,0.13408565521240234
60,0.18741488456726074
70,0.25095105171203613
80,0.32397913932800293
90,0.4085829257965088
100,0.5049521923065186
