,Numba MPI: 8 core
10,0.20440006256103516
20,0.08121180534362793
30,0.1134481430053711
40,0.16566085815429688
50,0.2381300926208496
60,0.31934475898742676
70,0.4138219356536865
80,0.5108349323272705
90,0.6153421401977539
100,0.7517640590667725
