#=====================================================
# File created:        Thu-20-Feb-2025-at-05-05-52PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.017350
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2529.4309  0.2637 
   00001    0.6964   -3670.2510  0.2704 
   00002    0.6300   -4474.7993  0.2772 
   00003    0.6020   -5043.5107  0.2724 
   00004    0.5456   -5483.6821  0.2816 
   00005    0.5424   -5845.7295  0.2783 
   00006    0.5156   -6068.0664  0.2826 
   00007    0.5056   -6265.9248  0.2864 
   00008    0.5028   -6434.1255  0.2880 
   00009    0.4832   -6606.0723  0.2893 
   00010    0.4888   -6754.3408  0.2907 
   00011    0.4820   -6929.5093  0.2887 
   00012    0.4796   -7007.7900  0.2863 
   00013    0.4728   -7110.0200  0.2890 
   00014    0.4664   -7246.9648  0.3011 
   00015    0.4396   -7308.7129  0.3054 
   00016    0.4720   -7398.2363  0.3142 
   00017    0.4600   -7419.2324  0.3203 
   00018    0.4572   -7425.1748  0.3134 
   00019    0.4544   -7529.4502  0.3225 
   00020    0.4552   -7586.8257  0.3255 
   00021    0.4512   -7629.8496  0.3280 
   00022    0.4400   -7639.8916  0.3339 
   00023    0.4364   -7708.1904  0.3365 
   00024    0.4400   -7749.7920  0.3378 
   00025    0.4328   -7772.1128  0.3387 
   00026    0.4492   -7777.4209  0.3445 
   00027    0.4412   -7857.5273  0.3439 
   00028    0.4452   -7883.8799  0.3464 
   00029    0.4344   -7874.0869  0.3459 
   00030    0.4348   -7884.9873  0.3407 
   00031    0.4356   -7915.5449  0.3428 
   00032    0.4284   -7923.6162  0.3435 
   00033    0.4292   -7950.7544  0.3493 
   00034    0.4408   -7928.9990  0.3461 
   00035    0.4368   -7932.9570  0.3406 
   00036    0.4320   -7988.6421  0.3431 
   00037    0.4308   -7973.9463  0.3423 
   00038    0.4364   -7997.5293  0.3442 
   00039    0.4228   -7977.9121  0.3461 
   00040    0.4516   -8003.9907  0.3452 
   00041    0.4392   -7997.1074  0.3469 
   00042    0.4400   -7978.7725  0.3516 
   00043    0.4224   -8043.7144  0.3602 
   00044    0.4432   -8061.6719  0.3678 
   00045    0.4472   -8085.6943  0.3644 
   00046    0.4220   -8101.8613  0.3692 
   00047    0.4312   -8112.2876  0.3747 
   00048    0.4316   -8092.8135  0.3774 
   00049    0.4124   -8056.4648  0.3808 
   00050    0.4400   -8052.0605  0.3854 
