#=====================================================
# File created:        Wed-12-Feb-2025-at-04-18-42PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.031175
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2489.3455  0.2537 
   00001    0.6904   -3738.2454  0.2574 
   00002    0.6364   -4496.7002  0.2641 
   00003    0.5928   -4988.4302  0.2607 
   00004    0.5612   -5419.1504  0.2536 
   00005    0.5456   -5762.0562  0.2729 
   00006    0.5328   -5998.4136  0.2705 
   00007    0.5092   -6301.6914  0.2673 
   00008    0.5020   -6466.2422  0.2679 
   00009    0.4952   -6664.0332  0.2732 
   00010    0.4920   -6827.8604  0.2710 
   00011    0.4780   -6938.7393  0.2768 
   00012    0.4656   -7057.6099  0.2763 
   00013    0.4552   -7147.5898  0.2828 
   00014    0.4764   -7229.9668  0.2884 
   00015    0.4628   -7241.4014  0.2892 
   00016    0.4580   -7346.0498  0.2863 
   00017    0.4456   -7415.4375  0.2733 
   00018    0.4260   -7433.3965  0.2763 
   00019    0.4504   -7478.6011  0.2668 
   00020    0.4620   -7532.2725  0.2647 
   00021    0.4432   -7563.9048  0.2688 
   00022    0.4448   -7575.6807  0.2654 
   00023    0.4528   -7573.5479  0.2650 
   00024    0.4376   -7593.3110  0.2684 
   00025    0.4576   -7612.3638  0.2643 
   00026    0.4520   -7661.3848  0.2716 
   00027    0.4264   -7692.5317  0.2725 
   00028    0.4528   -7682.0396  0.2711 
   00029    0.4476   -7703.3667  0.2655 
   00030    0.4368   -7719.8418  0.2698 
   00031    0.4484   -7715.4829  0.2695 
   00032    0.4400   -7798.9844  0.2698 
   00033    0.4472   -7795.6865  0.2693 
   00034    0.4448   -7874.5527  0.2804 
   00035    0.4460   -7888.9116  0.2804 
   00036    0.4204   -7899.9419  0.2804 
   00037    0.4360   -7978.6299  0.2784 
   00038    0.4392   -7915.6836  0.2762 
   00039    0.4468   -7927.2207  0.2766 
   00040    0.4236   -7997.5679  0.2778 
   00041    0.4416   -8044.1968  0.2873 
   00042    0.4416   -8031.6514  0.2905 
   00043    0.4344   -8031.9834  0.2951 
   00044    0.4164   -8070.5371  0.3026 
   00045    0.4316   -8028.5435  0.3031 
   00046    0.4372   -8018.8115  0.3063 
   00047    0.4480   -8057.0332  0.3143 
   00048    0.4244   -8042.9014  0.3181 
   00049    0.4232   -8053.5151  0.3192 
   00050    0.4424   -8069.8535  0.3214 
