#=====================================================
# File created:        Thu-20-Feb-2025-at-05-09-01PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.028627
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2526.1641  0.2585 
   00001    0.6684   -3794.1606  0.2667 
   00002    0.6252   -4539.2598  0.2726 
   00003    0.5908   -5114.4131  0.2772 
   00004    0.5476   -5512.5850  0.2842 
   00005    0.5324   -5761.9707  0.2914 
   00006    0.5288   -6046.6855  0.2919 
   00007    0.5208   -6295.8022  0.3016 
   00008    0.5156   -6437.2275  0.3112 
   00009    0.4956   -6657.6338  0.3235 
   00010    0.4780   -6790.0684  0.3272 
   00011    0.4872   -6897.9771  0.3324 
   00012    0.4824   -6992.3818  0.3313 
   00013    0.4860   -7098.3481  0.3299 
   00014    0.4760   -7190.1016  0.3244 
   00015    0.4720   -7211.8062  0.3250 
   00016    0.4592   -7290.5996  0.3293 
   00017    0.4760   -7340.0610  0.3277 
   00018    0.4668   -7414.7241  0.3272 
   00019    0.4540   -7394.5005  0.3226 
   00020    0.4552   -7441.3022  0.3216 
   00021    0.4464   -7493.0469  0.3172 
   00022    0.4648   -7546.6475  0.3146 
   00023    0.4468   -7577.0830  0.3083 
   00024    0.4344   -7626.2056  0.3128 
   00025    0.4564   -7661.9448  0.3044 
   00026    0.4484   -7702.8076  0.3009 
   00027    0.4256   -7764.8525  0.3086 
   00028    0.4312   -7769.6279  0.3098 
   00029    0.4340   -7743.4434  0.3092 
   00030    0.4572   -7820.5356  0.3091 
   00031    0.4444   -7837.3945  0.3049 
   00032    0.4372   -7885.4971  0.3004 
   00033    0.4264   -7852.3535  0.3013 
   00034    0.4228   -7934.1968  0.3044 
   00035    0.4140   -7958.2451  0.3059 
   00036    0.4376   -7957.5771  0.3070 
   00037    0.4328   -7934.6904  0.3098 
   00038    0.4356   -7970.2598  0.3093 
   00039    0.4272   -8057.7871  0.3055 
   00040    0.4160   -8095.6426  0.3107 
   00041    0.4172   -8093.0767  0.3136 
   00042    0.4344   -8041.6406  0.3170 
   00043    0.4272   -8054.9038  0.3123 
   00044    0.4332   -8054.9004  0.3158 
   00045    0.4328   -8090.9512  0.3170 
   00046    0.4252   -8063.2402  0.3195 
   00047    0.4412   -8042.2939  0.3154 
   00048    0.4284   -8056.6885  0.3179 
   00049    0.4368   -8074.2222  0.3208 
   00050    0.4272   -8059.9819  0.3209 
