#=====================================================
# File created:        Wed-12-Feb-2025-at-04-18-21PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.019428
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2375.0552  0.2575 
   00001    0.6844   -3688.3528  0.2675 
   00002    0.5988   -4510.9976  0.2718 
   00003    0.5812   -5155.0884  0.2793 
   00004    0.5508   -5584.6738  0.2865 
   00005    0.5428   -5886.4917  0.2879 
   00006    0.5116   -6117.6953  0.2849 
   00007    0.5172   -6439.5044  0.2868 
   00008    0.4984   -6668.1343  0.2808 
   00009    0.4952   -6773.4482  0.2891 
   00010    0.4712   -6937.8125  0.2885 
   00011    0.4532   -7033.0703  0.2959 
   00012    0.4756   -7135.7412  0.3018 
   00013    0.4696   -7173.7959  0.2918 
   00014    0.4552   -7292.3809  0.2935 
   00015    0.4528   -7370.2231  0.2971 
   00016    0.4524   -7415.6787  0.3024 
   00017    0.4656   -7490.6240  0.3059 
   00018    0.4540   -7503.6313  0.3046 
   00019    0.4340   -7537.2236  0.3074 
   00020    0.4696   -7613.8789  0.3080 
   00021    0.4480   -7689.3052  0.3117 
   00022    0.4380   -7680.2798  0.3203 
   00023    0.4444   -7773.8193  0.3194 
   00024    0.4368   -7789.3174  0.3192 
   00025    0.4336   -7809.8613  0.3155 
   00026    0.4400   -7850.0874  0.3164 
   00027    0.4468   -7852.5723  0.3229 
   00028    0.4232   -7814.0049  0.3152 
   00029    0.4324   -7826.7222  0.3227 
   00030    0.4324   -7877.7783  0.3202 
   00031    0.4352   -7886.7783  0.3249 
   00032    0.4336   -7890.5947  0.3309 
   00033    0.4400   -7896.0376  0.3336 
   00034    0.4468   -7923.6792  0.3297 
   00035    0.4464   -8018.0396  0.3351 
   00036    0.4324   -8001.5610  0.3428 
   00037    0.4300   -8001.7280  0.3362 
   00038    0.4260   -8011.5771  0.3402 
   00039    0.4336   -8030.9556  0.3466 
   00040    0.4484   -8082.1240  0.3523 
   00041    0.4384   -8097.5967  0.3521 
   00042    0.4412   -8085.1353  0.3544 
   00043    0.4152   -8115.5840  0.3561 
   00044    0.4172   -8117.1934  0.3561 
   00045    0.4200   -8137.6191  0.3617 
   00046    0.4180   -8127.2568  0.3648 
   00047    0.4132   -8137.6865  0.3592 
   00048    0.4292   -8092.6484  0.3561 
   00049    0.4324   -8096.2832  0.3571 
   00050    0.4280   -8146.8242  0.3617 
