#=====================================================
# File created:        Thu-20-Feb-2025-at-06-21-55PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.019083
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2522.8379  0.2548 
   00001    0.6940   -3781.0750  0.2523 
   00002    0.6364   -4587.9023  0.2709 
   00003    0.5840   -5180.2109  0.2693 
   00004    0.5692   -5632.0283  0.2762 
   00005    0.5232   -5934.0269  0.2635 
   00006    0.5148   -6268.4956  0.2599 
   00007    0.5252   -6468.4448  0.2765 
   00008    0.5044   -6691.1421  0.2825 
   00009    0.4788   -6844.9023  0.2829 
   00010    0.4852   -6961.3896  0.2846 
   00011    0.4732   -7078.7734  0.2850 
   00012    0.4616   -7104.6484  0.2936 
   00013    0.4784   -7158.6206  0.2884 
   00014    0.4724   -7271.6445  0.2832 
   00015    0.4688   -7337.9175  0.2892 
   00016    0.4632   -7438.8242  0.2834 
   00017    0.4680   -7511.3706  0.2714 
   00018    0.4536   -7532.6167  0.2788 
   00019    0.4316   -7598.0898  0.2733 
   00020    0.4388   -7563.9097  0.2624 
   00021    0.4584   -7658.7739  0.2668 
   00022    0.4432   -7683.8389  0.2677 
   00023    0.4328   -7730.4824  0.2789 
   00024    0.4480   -7790.0952  0.2788 
   00025    0.4280   -7805.4341  0.2688 
   00026    0.4424   -7851.0439  0.2604 
   00027    0.4308   -7830.7241  0.2600 
   00028    0.4400   -7803.3774  0.2596 
   00029    0.4352   -7853.0986  0.2620 
   00030    0.4288   -7859.4097  0.2646 
   00031    0.4468   -7850.2256  0.2602 
   00032    0.4588   -7857.5557  0.2630 
   00033    0.4272   -7842.8330  0.2665 
   00034    0.4448   -7807.0503  0.2723 
   00035    0.4320   -7870.3584  0.2688 
   00036    0.4396   -7889.6079  0.2711 
   00037    0.4208   -7865.5078  0.2771 
   00038    0.4180   -7902.8350  0.2804 
   00039    0.4492   -7930.5762  0.2814 
   00040    0.4332   -7894.6406  0.2852 
   00041    0.4376   -7910.8657  0.2845 
   00042    0.4276   -7897.5225  0.2980 
   00043    0.4444   -7950.5576  0.3046 
   00044    0.4356   -7906.9683  0.3047 
   00045    0.4240   -7944.4150  0.3050 
   00046    0.4556   -7951.1895  0.3035 
   00047    0.4248   -7927.6553  0.3106 
   00048    0.4424   -7888.2432  0.3001 
   00049    0.4304   -7918.5601  0.2960 
   00050    0.4164   -7948.3140  0.2985 
