#=====================================================
# File created:        Wed-12-Feb-2025-at-04-49-20PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.017731
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2601.4209  0.2666 
   00001    0.6640   -3751.5850  0.2578 
   00002    0.6108   -4494.5366  0.2640 
   00003    0.6012   -5011.9824  0.2628 
   00004    0.5708   -5535.3491  0.2665 
   00005    0.5448   -5877.2700  0.2639 
   00006    0.5176   -6132.5386  0.2714 
   00007    0.5120   -6401.7168  0.2738 
   00008    0.5088   -6590.6191  0.2742 
   00009    0.4844   -6718.8379  0.2806 
   00010    0.4916   -6822.7021  0.2879 
   00011    0.4636   -6904.3511  0.2975 
   00012    0.4860   -7059.1431  0.3039 
   00013    0.4816   -7182.9956  0.3044 
   00014    0.4516   -7228.4946  0.3038 
   00015    0.4544   -7272.0747  0.3055 
   00016    0.4468   -7370.4482  0.3077 
   00017    0.4432   -7438.0117  0.3084 
   00018    0.4356   -7461.7109  0.3078 
   00019    0.4432   -7478.8154  0.3120 
   00020    0.4584   -7512.8184  0.3141 
   00021    0.4448   -7525.8198  0.3149 
   00022    0.4320   -7588.6587  0.3172 
   00023    0.4484   -7697.9092  0.3202 
   00024    0.4380   -7769.2422  0.3147 
   00025    0.4488   -7784.7588  0.3166 
   00026    0.4476   -7811.0747  0.3246 
   00027    0.4332   -7842.1504  0.3301 
   00028    0.4428   -7865.0308  0.3291 
   00029    0.4316   -7907.6606  0.3282 
   00030    0.4204   -7908.5864  0.3362 
   00031    0.4120   -7913.9990  0.3353 
   00032    0.4176   -7891.5928  0.3352 
   00033    0.4476   -7931.5981  0.3421 
   00034    0.4264   -7925.2866  0.3503 
   00035    0.4400   -7907.3965  0.3494 
   00036    0.4236   -7935.6904  0.3536 
   00037    0.4300   -7959.7324  0.3599 
   00038    0.4264   -7988.4854  0.3610 
   00039    0.4316   -7940.5728  0.3625 
   00040    0.4420   -7969.4443  0.3633 
   00041    0.4400   -7973.5146  0.3615 
   00042    0.4328   -7980.7266  0.3580 
   00043    0.4320   -8005.3252  0.3587 
   00044    0.4312   -8032.3389  0.3527 
   00045    0.4404   -8049.0518  0.3533 
   00046    0.4416   -8067.2007  0.3534 
   00047    0.4340   -8027.2520  0.3568 
   00048    0.4352   -8053.1528  0.3566 
   00049    0.4232   -8089.1177  0.3619 
   00050    0.4348   -8058.6914  0.3657 
