#=====================================================
# File created:        Thu-20-Feb-2025-at-06-26-04PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.019666
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2607.0586  0.2592 
   00001    0.6884   -3953.4812  0.2636 
   00002    0.6208   -4752.2285  0.2643 
   00003    0.5628   -5300.5684  0.2771 
   00004    0.5404   -5766.2378  0.2811 
   00005    0.5212   -6101.8560  0.2881 
   00006    0.5128   -6276.1650  0.2892 
   00007    0.5320   -6403.1655  0.2986 
   00008    0.4912   -6559.2432  0.2987 
   00009    0.4828   -6695.5996  0.3054 
   00010    0.5104   -6882.7451  0.2992 
   00011    0.4876   -7012.1240  0.2980 
   00012    0.4784   -7207.4102  0.2980 
   00013    0.4532   -7285.8843  0.2950 
   00014    0.4648   -7354.6089  0.3030 
   00015    0.4640   -7390.7119  0.3015 
   00016    0.4468   -7437.1938  0.2948 
   00017    0.4496   -7527.0225  0.2992 
   00018    0.4440   -7572.7715  0.3076 
   00019    0.4388   -7568.5640  0.3104 
   00020    0.4300   -7644.7002  0.3232 
   00021    0.4448   -7674.2158  0.3181 
   00022    0.4576   -7751.1182  0.3211 
   00023    0.4572   -7729.4902  0.3232 
   00024    0.4336   -7715.8076  0.3246 
   00025    0.4632   -7733.4331  0.3226 
   00026    0.4480   -7797.3901  0.3266 
   00027    0.4332   -7822.8843  0.3274 
   00028    0.4348   -7847.3901  0.3339 
   00029    0.4236   -7862.5693  0.3250 
   00030    0.4384   -7896.7256  0.3295 
   00031    0.4444   -7905.5391  0.3314 
   00032    0.4384   -7936.1680  0.3323 
   00033    0.4424   -7918.2437  0.3353 
   00034    0.4400   -7918.4326  0.3354 
   00035    0.4428   -7926.0244  0.3427 
   00036    0.4388   -7978.6431  0.3474 
   00037    0.4404   -7995.3525  0.3408 
   00038    0.4348   -8001.8496  0.3440 
   00039    0.4152   -7983.6177  0.3423 
   00040    0.4340   -8030.9243  0.3405 
   00041    0.4404   -7986.0591  0.3454 
   00042    0.4420   -8023.9697  0.3431 
   00043    0.4332   -8008.1934  0.3472 
   00044    0.4396   -8032.1968  0.3511 
   00045    0.4300   -8016.1616  0.3469 
   00046    0.4356   -7968.4185  0.3428 
   00047    0.4328   -7945.0010  0.3370 
   00048    0.4288   -7994.7168  0.3404 
   00049    0.4420   -8005.0288  0.3493 
   00050    0.4276   -8018.0415  0.3484 
