#=====================================================
# File created:        Thu-20-Feb-2025-at-04-01-11PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.127219
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2516.0348  0.2689 
   00001    0.6916   -3729.4075  0.2747 
   00002    0.6256   -4554.1483  0.2844 
   00003    0.5776   -5058.6480  0.2893 
   00004    0.5628   -5546.6382  0.2856 
   00005    0.5432   -5969.4473  0.2945 
   00006    0.5108   -6244.7961  0.3010 
   00007    0.5120   -6458.5164  0.3083 
   00008    0.4812   -6672.3978  0.3200 
   00009    0.4664   -6763.8483  0.3127 
   00010    0.4772   -6849.7542  0.3237 
   00011    0.4676   -6929.4759  0.3222 
   00012    0.4728   -7018.3817  0.3298 
   00013    0.4536   -7041.8235  0.3354 
   00014    0.4804   -7161.6068  0.3249 
   00015    0.4640   -7214.2411  0.3249 
   00016    0.4624   -7307.6781  0.3235 
   00017    0.4536   -7369.2883  0.3181 
   00018    0.4576   -7412.4887  0.3201 
   00019    0.4636   -7535.4024  0.3347 
   00020    0.4564   -7624.2096  0.3272 
   00021    0.4312   -7645.4526  0.3205 
   00022    0.4608   -7679.7849  0.3240 
   00023    0.4540   -7714.1994  0.3252 
   00024    0.4356   -7797.4803  0.3178 
   00025    0.4288   -7848.3443  0.3158 
   00026    0.4168   -7808.1310  0.3177 
   00027    0.4436   -7790.5267  0.3209 
   00028    0.4268   -7838.8779  0.3306 
   00029    0.4340   -7817.8884  0.3255 
   00030    0.4488   -7820.9874  0.3268 
   00031    0.4268   -7873.0545  0.3332 
   00032    0.4460   -7838.0267  0.3310 
   00033    0.4236   -7805.9114  0.3336 
   00034    0.4544   -7802.6933  0.3435 
   00035    0.4524   -7827.6928  0.3477 
   00036    0.4292   -7878.6083  0.3470 
   00037    0.4188   -7896.9781  0.3412 
   00038    0.4292   -7890.4574  0.3398 
   00039    0.4320   -7915.3475  0.3333 
   00040    0.4256   -7964.3383  0.3318 
   00041    0.4404   -7958.3094  0.3268 
   00042    0.4268   -7984.8348  0.3274 
   00043    0.4312   -7989.3641  0.3250 
   00044    0.4424   -7969.0299  0.3244 
   00045    0.4268   -7976.7598  0.3217 
   00046    0.4184   -8020.6750  0.3227 
   00047    0.4284   -8009.0080  0.3207 
   00048    0.4220   -7977.7273  0.3201 
   00049    0.4336   -7974.2348  0.3176 
   00050    0.4428   -8051.0995  0.3151 
