#=====================================================
# File created:        Thu-20-Feb-2025-at-03-52-10PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.306970
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2586.8072  0.2657 
   00001    0.6724   -3796.9665  0.2658 
   00002    0.6212   -4546.4041  0.2683 
   00003    0.5660   -5049.3284  0.2702 
   00004    0.5800   -5441.4455  0.2736 
   00005    0.5304   -5811.2855  0.2798 
   00006    0.5020   -6123.6150  0.2892 
   00007    0.5168   -6378.7548  0.2928 
   00008    0.5056   -6531.0783  0.3009 
   00009    0.4840   -6665.1841  0.3037 
   00010    0.4896   -6830.4856  0.3067 
   00011    0.4644   -6942.2655  0.3124 
   00012    0.4748   -7026.3551  0.3167 
   00013    0.4792   -7151.8934  0.3232 
   00014    0.4724   -7245.0927  0.3305 
   00015    0.4532   -7340.3519  0.3332 
   00016    0.4752   -7435.0089  0.3409 
   00017    0.4312   -7501.2405  0.3385 
   00018    0.4608   -7571.7074  0.3438 
   00019    0.4476   -7609.9680  0.3471 
   00020    0.4544   -7665.1922  0.3432 
   00021    0.4456   -7731.5459  0.3408 
   00022    0.4468   -7734.1145  0.3404 
   00023    0.4448   -7794.0326  0.3481 
   00024    0.4192   -7767.5564  0.3545 
   00025    0.4452   -7796.6073  0.3597 
   00026    0.4500   -7821.8250  0.3581 
   00027    0.4176   -7855.7946  0.3627 
   00028    0.4472   -7884.9758  0.3610 
   00029    0.4412   -7923.5501  0.3648 
   00030    0.4200   -7949.9576  0.3664 
   00031    0.4292   -8024.3080  0.3697 
   00032    0.4304   -8036.9535  0.3668 
   00033    0.4244   -8074.2061  0.3707 
   00034    0.4052   -8082.6275  0.3738 
   00035    0.4244   -8096.0937  0.3767 
   00036    0.4364   -8113.5609  0.3810 
   00037    0.4300   -8052.5698  0.3814 
   00038    0.4160   -8079.5839  0.3864 
   00039    0.4088   -8126.9987  0.3882 
   00040    0.4276   -8101.5701  0.3997 
   00041    0.4176   -8128.9093  0.4018 
   00042    0.4256   -8102.8706  0.4044 
   00043    0.4280   -8065.1431  0.4043 
   00044    0.4244   -8121.2800  0.4023 
   00045    0.4276   -8110.8054  0.4078 
   00046    0.4276   -8168.8468  0.4099 
   00047    0.4268   -8201.1420  0.4144 
   00048    0.4316   -8210.0971  0.4127 
   00049    0.4140   -8202.2679  0.4161 
   00050    0.4068   -8184.4459  0.4211 
