,NumPy
10,0.04567313194274902
20,0.06655120849609375
30,0.10419774055480957
40,0.15662908554077148
50,0.22741413116455078
60,0.317018985748291
70,0.4203989505767822
80,0.5456278324127197
90,0.6836509704589844
100,0.8142390251159668
