,MPI MCstep: 1 core
10,0.06527471542358398
20,0.16588497161865234
30,0.37444519996643066
40,0.6559460163116455
50,1.0221710205078125
60,1.4686369895935059
70,2.003056287765503
80,2.6123359203338623
90,3.304579257965088
100,4.198421001434326
