,MPI MCstep: 1 core
100,0.8322708606719971
200,1.7735002040863037
300,2.489439010620117
400,3.3065829277038574
500,4.1145100593566895
600,4.9366209506988525
700,5.7718729972839355
800,6.561756134033203
900,7.403177976608276
1000,8.478884220123291
