,MPI: 8 core
100,0.6786057949066162
200,1.326606035232544
300,2.0771470069885254
400,2.718791961669922
500,3.3841919898986816
600,4.041998863220215
700,4.755480051040649
800,5.413290977478027
900,6.1436591148376465
1000,6.958050012588501
