,MPI: 1 core
100,0.8495121002197266
200,1.7060749530792236
300,2.5676429271698
400,3.4272360801696777
500,4.2641448974609375
600,5.115968942642212
700,6.0142600536346436
800,6.8624608516693115
900,7.666615009307861
1000,8.519678115844727
