,MPI MCstep: 2 core
10,0.02454090118408203
20,0.08749604225158691
30,0.1952500343322754
40,0.34627723693847656
50,0.54007887840271
60,0.7786262035369873
70,1.0583250522613525
80,1.379040002822876
90,1.7457258701324463
100,2.1613399982452393
