,MPI: 2 core
100,0.6370890140533447
200,1.243941068649292
300,1.880601167678833
400,2.4762330055236816
500,3.1355769634246826
600,3.795362949371338
700,4.3994410037994385
800,5.035066843032837
900,5.600516080856323
1000,6.247057199478149
