,MPI: 4 core
100,0.5289440155029297
200,1.0806970596313477
300,1.6217319965362549
400,2.162454128265381
500,2.705810785293579
600,3.245537757873535
700,3.782647132873535
800,4.267544269561768
900,5.006901025772095
1000,5.3678858280181885
