,MPI MCstep: 2 core
100,0.44008588790893555
200,0.87900710105896
300,1.3166420459747314
400,1.754607915878296
500,2.19872784614563
600,2.6295478343963623
700,3.06388783454895
800,3.4940128326416016
900,3.929386854171753
1000,4.370373964309692
