#=====================================================
# File created:        Sun-23-Feb-2025-at-04-02-44PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.726678
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    2.0000   -2456.0918  0.2757 
   00001    0.7008   -3885.5868  0.2779 
   00002    0.6188   -4636.5669  0.2721 
   00003    0.5672   -5188.1341  0.2723 
   00004    0.5504   -5643.8605  0.2691 
   00005    0.5476   -5965.5979  0.2663 
   00006    0.4916   -6183.9486  0.2820 
   00007    0.5112   -6404.7751  0.2820 
   00008    0.4900   -6583.8961  0.2876 
   00009    0.4844   -6783.6051  0.2862 
   00010    0.4824   -6950.9919  0.2871 
   00011    0.4584   -7024.6642  0.2888 
   00012    0.4768   -7128.3724  0.2947 
   00013    0.4584   -7238.3825  0.3020 
   00014    0.4664   -7307.5952  0.3033 
   00015    0.4544   -7349.9959  0.3038 
   00016    0.4688   -7378.4423  0.3030 
   00017    0.4572   -7457.5014  0.3022 
   00018    0.4360   -7493.7729  0.3038 
   00019    0.4500   -7577.4737  0.3066 
   00020    0.4604   -7591.7328  0.3127 
   00021    0.4356   -7640.9228  0.3124 
   00022    0.4480   -7668.0747  0.3234 
   00023    0.4272   -7683.3887  0.3205 
   00024    0.4372   -7716.9458  0.3227 
   00025    0.4396   -7713.9041  0.3198 
   00026    0.4480   -7688.3223  0.3184 
   00027    0.4416   -7698.9315  0.3195 
   00028    0.4332   -7749.6563  0.3193 
   00029    0.4536   -7752.0793  0.3199 
   00030    0.4392   -7711.4995  0.3184 
   00031    0.4308   -7755.8161  0.3191 
   00032    0.4296   -7791.3974  0.3289 
   00033    0.4404   -7793.7244  0.3277 
   00034    0.4228   -7802.0022  0.3330 
   00035    0.4456   -7797.5399  0.3309 
   00036    0.4404   -7790.2519  0.3362 
   00037    0.4416   -7838.5136  0.3395 
   00038    0.4336   -7894.9851  0.3322 
   00039    0.4292   -7879.9337  0.3368 
   00040    0.4316   -7924.7656  0.3317 
   00041    0.4408   -7897.7021  0.3337 
   00042    0.4504   -7900.2236  0.3428 
   00043    0.4144   -7890.3692  0.3543 
   00044    0.4380   -7871.6375  0.3583 
   00045    0.4392   -7833.6238  0.3600 
   00046    0.4264   -7859.2250  0.3600 
   00047    0.4208   -7843.3048  0.3677 
   00048    0.4312   -7849.6835  0.3711 
   00049    0.4580   -7922.3955  0.3740 
   00050    0.4448   -7881.7840  0.3754 
