#=====================================================
# File created:        Fri-21-Feb-2025-at-04-49-52PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.547209
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2537.4207  0.2581 
   00001    0.6748   -2822.2915  0.2593 
   00002    0.6068   -3036.6027  0.2601 
   00003    0.5880   -3197.8296  0.2634 
   00004    0.5560   -3311.0603  0.2650 
   00005    0.5276   -3379.5480  0.2643 
   00006    0.4896   -3463.7459  0.2631 
   00007    0.4976   -3505.0223  0.2580 
   00008    0.5016   -3546.3524  0.2551 
   00009    0.4996   -3581.9510  0.2563 
   00010    0.5060   -3625.2886  0.2607 
   00011    0.4944   -3659.1519  0.2603 
   00012    0.4832   -3692.0744  0.2599 
   00013    0.4828   -3694.6299  0.2624 
   00014    0.4588   -3718.7011  0.2647 
   00015    0.4672   -3744.8773  0.2616 
   00016    0.4644   -3797.3491  0.2617 
   00017    0.4572   -3819.1243  0.2622 
   00018    0.4620   -3805.9055  0.2622 
   00019    0.4560   -3804.0200  0.2604 
   00020    0.4600   -3835.3702  0.2661 
   00021    0.4572   -3870.5311  0.2683 
   00022    0.4332   -3871.9901  0.2704 
   00023    0.4316   -3885.6034  0.2720 
   00024    0.4484   -3896.1334  0.2727 
   00025    0.4276   -3870.5067  0.2718 
   00026    0.4452   -3855.7059  0.2726 
   00027    0.4220   -3878.3942  0.2727 
   00028    0.4316   -3908.8980  0.2746 
   00029    0.4352   -3927.5813  0.2740 
   00030    0.4264   -3908.9026  0.2731 
   00031    0.4248   -3924.2177  0.2737 
   00032    0.4236   -3927.6410  0.2716 
   00033    0.4304   -3928.0304  0.2735 
   00034    0.4008   -3938.6744  0.2759 
   00035    0.4124   -3924.6213  0.2758 
   00036    0.4340   -3937.2710  0.2768 
   00037    0.4284   -3931.5337  0.2793 
   00038    0.4284   -3917.0816  0.2791 
   00039    0.4424   -3918.0478  0.2799 
   00040    0.4396   -3940.7836  0.2805 
   00041    0.4244   -3950.2891  0.2789 
   00042    0.4380   -3920.3085  0.2772 
   00043    0.4124   -3928.3893  0.2761 
   00044    0.4240   -3931.9028  0.2752 
   00045    0.4232   -3939.7786  0.2768 
   00046    0.4160   -3951.0689  0.2784 
   00047    0.4436   -3935.5221  0.2779 
   00048    0.4316   -3925.2777  0.2821 
   00049    0.4460   -3946.1847  0.2829 
   00050    0.4200   -3932.2608  0.2820 
