#=====================================================
# File created:        Sun-23-Feb-2025-at-03-57-45PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.551134
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2584.6905  0.2791 
   00001    0.6776   -2824.2130  0.2923 
   00002    0.6312   -2963.7616  0.2891 
   00003    0.5784   -3117.9152  0.2928 
   00004    0.5732   -3196.5583  0.2927 
   00005    0.5316   -3278.3831  0.2908 
   00006    0.5372   -3356.5535  0.2866 
   00007    0.5212   -3424.0884  0.2872 
   00008    0.5032   -3493.2542  0.2890 
   00009    0.4644   -3557.9395  0.2916 
   00010    0.4848   -3596.4350  0.2891 
   00011    0.4748   -3631.9625  0.2850 
   00012    0.4684   -3667.8392  0.2806 
   00013    0.4620   -3687.2335  0.2841 
   00014    0.4496   -3719.3062  0.2825 
   00015    0.4708   -3708.1132  0.2832 
   00016    0.4592   -3733.6855  0.2850 
   00017    0.4548   -3755.8894  0.2824 
   00018    0.4572   -3774.4464  0.2796 
   00019    0.4512   -3779.8811  0.2828 
   00020    0.4536   -3788.3721  0.2832 
   00021    0.4508   -3792.5320  0.2813 
   00022    0.4624   -3825.6860  0.2838 
   00023    0.4428   -3819.5201  0.2847 
   00024    0.4284   -3842.3520  0.2883 
   00025    0.4248   -3845.8906  0.2883 
   00026    0.4344   -3850.6713  0.2869 
   00027    0.4592   -3841.2366  0.2835 
   00028    0.4292   -3837.6035  0.2831 
   00029    0.4372   -3853.5109  0.2858 
   00030    0.4356   -3878.0903  0.2852 
   00031    0.4232   -3876.6161  0.2844 
   00032    0.4288   -3859.5676  0.2823 
   00033    0.4496   -3859.0119  0.2825 
   00034    0.4248   -3872.0902  0.2839 
   00035    0.4364   -3854.9083  0.2800 
   00036    0.4368   -3848.9737  0.2782 
   00037    0.4256   -3843.2660  0.2796 
   00038    0.4340   -3824.4080  0.2817 
   00039    0.4184   -3827.9659  0.2798 
   00040    0.4320   -3859.7940  0.2806 
   00041    0.4232   -3863.4365  0.2814 
   00042    0.4324   -3862.1974  0.2802 
   00043    0.4252   -3844.0499  0.2809 
   00044    0.4164   -3846.1720  0.2820 
   00045    0.4256   -3858.9618  0.2810 
   00046    0.4256   -3860.4899  0.2760 
   00047    0.4300   -3870.8382  0.2764 
   00048    0.4348   -3861.1047  0.2780 
   00049    0.4228   -3850.2439  0.2784 
   00050    0.4184   -3852.0939  0.2771 
