#=====================================================
# File created:        Fri-21-Feb-2025-at-04-50-26PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.717333
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2585.5558  0.2635 
   00001    0.6960   -3825.4190  0.2681 
   00002    0.6200   -4701.1652  0.2781 
   00003    0.6072   -5274.8860  0.2726 
   00004    0.5616   -5749.4658  0.2777 
   00005    0.5232   -6066.6985  0.2740 
   00006    0.5128   -6307.8353  0.2838 
   00007    0.5060   -6454.2050  0.2891 
   00008    0.5016   -6580.8765  0.2953 
   00009    0.4940   -6771.0855  0.2939 
   00010    0.4904   -6897.5883  0.3044 
   00011    0.4704   -7069.8882  0.3089 
   00012    0.4636   -7193.7430  0.3136 
   00013    0.4616   -7251.5787  0.3070 
   00014    0.4640   -7325.5132  0.3130 
   00015    0.4436   -7371.5991  0.3055 
   00016    0.4352   -7482.0318  0.3100 
   00017    0.4412   -7518.5770  0.3099 
   00018    0.4500   -7537.4046  0.3132 
   00019    0.4664   -7558.0485  0.3153 
   00020    0.4504   -7591.2687  0.3121 
   00021    0.4464   -7625.0166  0.3101 
   00022    0.4452   -7671.0715  0.3146 
   00023    0.4284   -7726.2697  0.3191 
   00024    0.4312   -7753.5081  0.3189 
   00025    0.4432   -7812.3262  0.3136 
   00026    0.4368   -7857.0437  0.3056 
   00027    0.4332   -7877.1579  0.3070 
   00028    0.4400   -7894.3534  0.3016 
   00029    0.4424   -7965.6092  0.3028 
   00030    0.4408   -7983.5062  0.3078 
   00031    0.4332   -8029.3054  0.3113 
   00032    0.4464   -7985.0932  0.3122 
   00033    0.4280   -8029.9523  0.3154 
   00034    0.4336   -7955.4793  0.3201 
   00035    0.4248   -7935.7131  0.3152 
   00036    0.4376   -7956.1208  0.3118 
   00037    0.4332   -7955.6608  0.3098 
   00038    0.4532   -8003.8353  0.3104 
   00039    0.4388   -7995.2667  0.3141 
   00040    0.4164   -7994.5839  0.3134 
   00041    0.4256   -7947.8235  0.3109 
   00042    0.4336   -8006.5880  0.3081 
   00043    0.4268   -8022.7798  0.3117 
   00044    0.4220   -8052.2779  0.3096 
   00045    0.4280   -8066.7894  0.3095 
   00046    0.4260   -8056.4143  0.3124 
   00047    0.4436   -8104.0619  0.3095 
   00048    0.4224   -8071.2610  0.3132 
   00049    0.4412   -8068.3812  0.3149 
   00050    0.4332   -8111.1257  0.3157 
