#=====================================================
# File created:        Fri-21-Feb-2025-at-04-49-31PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.585502
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2563.2063  0.2653 
   00001    0.6700   -2855.7022  0.2635 
   00002    0.6288   -3044.5662  0.2687 
   00003    0.5916   -3215.0840  0.2716 
   00004    0.5448   -3300.3217  0.2704 
   00005    0.5404   -3436.4220  0.2679 
   00006    0.5480   -3505.8459  0.2740 
   00007    0.5132   -3547.5841  0.2763 
   00008    0.4948   -3610.7819  0.2768 
   00009    0.4720   -3624.8948  0.2747 
   00010    0.4740   -3659.6888  0.2773 
   00011    0.4792   -3699.3590  0.2803 
   00012    0.4868   -3730.0632  0.2785 
   00013    0.4628   -3743.3536  0.2813 
   00014    0.4692   -3739.8996  0.2808 
   00015    0.4652   -3766.6511  0.2823 
   00016    0.4556   -3792.9193  0.2812 
   00017    0.4484   -3815.1230  0.2826 
   00018    0.4524   -3819.6444  0.2799 
   00019    0.4700   -3854.7334  0.2765 
   00020    0.4444   -3862.2150  0.2786 
   00021    0.4408   -3883.6233  0.2806 
   00022    0.4328   -3886.8887  0.2776 
   00023    0.4360   -3882.7635  0.2747 
   00024    0.4364   -3881.8334  0.2775 
   00025    0.4504   -3888.6673  0.2801 
   00026    0.4188   -3907.3290  0.2802 
   00027    0.4420   -3894.9728  0.2807 
   00028    0.4420   -3900.5690  0.2804 
   00029    0.4516   -3914.4091  0.2828 
   00030    0.4272   -3913.5970  0.2836 
   00031    0.4648   -3924.3006  0.2847 
   00032    0.4364   -3922.6362  0.2831 
   00033    0.4376   -3894.7945  0.2806 
   00034    0.4432   -3918.0234  0.2822 
   00035    0.4324   -3910.3120  0.2840 
   00036    0.4280   -3919.5975  0.2817 
   00037    0.4456   -3930.1630  0.2805 
   00038    0.4388   -3922.6694  0.2818 
   00039    0.4484   -3926.4840  0.2828 
   00040    0.4488   -3939.8577  0.2856 
   00041    0.4072   -3942.1800  0.2817 
   00042    0.4512   -3954.4575  0.2799 
   00043    0.4196   -3963.4051  0.2792 
   00044    0.4236   -3944.6021  0.2819 
   00045    0.4152   -3951.1770  0.2793 
   00046    0.4332   -3950.7856  0.2834 
   00047    0.4312   -3969.3072  0.2848 
   00048    0.4376   -3966.6760  0.2840 
   00049    0.4324   -3976.0020  0.2837 
   00050    0.4196   -3986.3206  0.2846 
