#=====================================================
# File created:        Sun-23-Feb-2025-at-04-01-59PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.741208
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    2.0000   -2567.4407  0.2753 
   00001    0.6716   -3920.5167  0.2809 
   00002    0.6076   -4707.3702  0.2970 
   00003    0.5816   -5296.7841  0.3001 
   00004    0.5580   -5698.6931  0.3066 
   00005    0.5452   -6044.0347  0.3203 
   00006    0.5220   -6289.4700  0.3224 
   00007    0.5072   -6441.9205  0.3241 
   00008    0.5008   -6683.3630  0.3239 
   00009    0.4876   -6821.6227  0.3196 
   00010    0.4824   -6954.0731  0.3264 
   00011    0.4784   -7025.7589  0.3284 
   00012    0.4836   -7083.3991  0.3342 
   00013    0.4800   -7163.5265  0.3364 
   00014    0.4604   -7258.4221  0.3355 
   00015    0.4720   -7344.2918  0.3418 
   00016    0.4540   -7383.1401  0.3439 
   00017    0.4440   -7404.8132  0.3381 
   00018    0.4528   -7467.7820  0.3400 
   00019    0.4544   -7497.1194  0.3386 
   00020    0.4424   -7535.8742  0.3393 
   00021    0.4360   -7553.7474  0.3322 
   00022    0.4732   -7576.8558  0.3393 
   00023    0.4584   -7561.6403  0.3462 
   00024    0.4512   -7575.3026  0.3498 
   00025    0.4348   -7571.9470  0.3486 
   00026    0.4440   -7627.4102  0.3505 
   00027    0.4360   -7634.9447  0.3596 
   00028    0.4296   -7668.5480  0.3641 
   00029    0.4340   -7720.2068  0.3727 
   00030    0.4284   -7735.0228  0.3684 
   00031    0.4564   -7709.7115  0.3767 
   00032    0.4292   -7705.0963  0.3772 
   00033    0.4512   -7735.6740  0.3756 
   00034    0.4340   -7782.0822  0.3749 
   00035    0.4404   -7760.6448  0.3746 
   00036    0.4368   -7797.2858  0.3842 
   00037    0.4416   -7838.1737  0.3863 
   00038    0.4396   -7843.6887  0.3868 
   00039    0.4344   -7826.2828  0.3972 
   00040    0.4324   -7810.2833  0.4023 
   00041    0.4304   -7818.5230  0.3986 
   00042    0.4388   -7826.1890  0.3955 
   00043    0.4352   -7859.7840  0.3952 
   00044    0.4452   -7860.8022  0.3938 
   00045    0.4500   -7896.0451  0.3966 
   00046    0.4172   -7931.6495  0.3930 
   00047    0.4240   -7925.2161  0.3912 
   00048    0.4344   -7904.7691  0.3861 
   00049    0.4416   -7912.8868  0.3958 
   00050    0.4088   -7899.2869  0.3893 
