#=====================================================
# File created:        Fri-21-Feb-2025-at-03-35-00PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.560491
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2569.6976  0.2575 
   00001    0.6760   -2907.0376  0.2656 
   00002    0.6280   -3100.5444  0.2596 
   00003    0.5964   -3227.7042  0.2518 
   00004    0.5504   -3362.2109  0.2539 
   00005    0.5400   -3463.7225  0.2545 
   00006    0.5184   -3523.1382  0.2556 
   00007    0.5228   -3560.9489  0.2645 
   00008    0.5028   -3606.5942  0.2664 
   00009    0.4960   -3613.3857  0.2661 
   00010    0.4784   -3651.9748  0.2669 
   00011    0.4712   -3678.7574  0.2668 
   00012    0.4688   -3726.4608  0.2683 
   00013    0.4680   -3757.4202  0.2722 
   00014    0.4468   -3793.6093  0.2727 
   00015    0.4632   -3810.3640  0.2767 
   00016    0.4528   -3824.4692  0.2740 
   00017    0.4488   -3799.2531  0.2737 
   00018    0.4660   -3817.3401  0.2712 
   00019    0.4524   -3843.7201  0.2739 
   00020    0.4520   -3850.0810  0.2793 
   00021    0.4548   -3837.6919  0.2801 
   00022    0.4264   -3829.2459  0.2815 
   00023    0.4516   -3845.3691  0.2845 
   00024    0.4528   -3866.3178  0.2881 
   00025    0.4460   -3886.4755  0.2897 
   00026    0.4276   -3898.1430  0.2901 
   00027    0.4388   -3887.6644  0.2928 
   00028    0.4148   -3909.9259  0.2947 
   00029    0.4324   -3929.6057  0.2904 
   00030    0.4316   -3916.7952  0.2904 
   00031    0.4396   -3919.8774  0.2923 
   00032    0.4444   -3899.3141  0.2912 
   00033    0.4484   -3903.5556  0.2925 
   00034    0.4280   -3915.7402  0.2891 
   00035    0.4272   -3917.6788  0.2904 
   00036    0.4260   -3934.5164  0.2901 
   00037    0.4464   -3937.2660  0.2929 
   00038    0.4228   -3944.1934  0.2943 
   00039    0.4308   -3944.7211  0.2968 
   00040    0.4456   -3948.9960  0.2989 
   00041    0.4268   -3949.0386  0.3007 
   00042    0.4272   -3982.0342  0.3037 
   00043    0.4488   -3976.9907  0.3078 
   00044    0.4180   -3973.4701  0.3108 
   00045    0.4000   -3976.1621  0.3086 
   00046    0.4192   -3957.8985  0.3092 
   00047    0.4076   -3945.2642  0.3108 
   00048    0.4304   -3935.8222  0.3128 
   00049    0.4340   -3944.3515  0.3085 
   00050    0.4420   -3955.1742  0.3095 
