#=====================================================
# File created:        Sun-23-Feb-2025-at-03-56-22PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.572071
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2619.0714  0.2692 
   00001    0.6760   -2894.0511  0.2756 
   00002    0.6096   -3077.1200  0.2750 
   00003    0.5700   -3239.8392  0.2733 
   00004    0.5568   -3341.6619  0.2755 
   00005    0.5348   -3443.4518  0.2754 
   00006    0.5104   -3498.8498  0.2793 
   00007    0.5120   -3576.2793  0.2815 
   00008    0.5068   -3607.6262  0.2816 
   00009    0.4720   -3630.1638  0.2833 
   00010    0.4820   -3685.4587  0.2851 
   00011    0.4752   -3733.8022  0.2859 
   00012    0.4372   -3762.7098  0.2893 
   00013    0.4716   -3786.3240  0.2887 
   00014    0.4436   -3795.6926  0.2899 
   00015    0.4564   -3815.5963  0.2883 
   00016    0.4488   -3841.9169  0.2881 
   00017    0.4480   -3859.8155  0.2892 
   00018    0.4636   -3854.1732  0.2904 
   00019    0.4552   -3840.6922  0.2889 
   00020    0.4476   -3857.4272  0.2900 
   00021    0.4448   -3843.7632  0.2901 
   00022    0.4444   -3867.9510  0.2881 
   00023    0.4636   -3893.2405  0.2911 
   00024    0.4588   -3880.9707  0.2896 
   00025    0.4508   -3887.6686  0.2881 
   00026    0.4496   -3890.4475  0.2906 
   00027    0.4512   -3927.1408  0.2921 
   00028    0.4228   -3938.4106  0.2913 
   00029    0.4288   -3906.1519  0.2940 
   00030    0.4340   -3926.3040  0.2989 
   00031    0.4268   -3952.2753  0.3024 
   00032    0.4464   -3929.6701  0.3042 
   00033    0.4332   -3938.0270  0.3062 
   00034    0.4412   -3944.9593  0.3058 
   00035    0.4132   -3936.0093  0.3049 
   00036    0.4532   -3925.2386  0.3042 
   00037    0.4328   -3922.8050  0.3043 
   00038    0.4372   -3930.4059  0.3028 
   00039    0.4544   -3938.2409  0.3046 
   00040    0.4356   -3927.6775  0.3050 
   00041    0.4268   -3945.2362  0.3065 
   00042    0.4292   -3951.3435  0.3109 
   00043    0.4240   -3944.1562  0.3077 
   00044    0.4400   -3940.8417  0.3057 
   00045    0.4208   -3971.6868  0.3086 
   00046    0.4256   -3965.6216  0.3092 
   00047    0.4332   -3956.7192  0.3106 
   00048    0.4216   -3962.0283  0.3061 
   00049    0.4380   -3957.8717  0.3045 
   00050    0.4252   -3964.0669  0.3044 
